V1,location_name,date,deaths_mean,admis_mean,totdea_mean
1,Washington,1/3/2020,0,0,0
2,Washington,1/4/2020,0,0,0
3,Washington,1/5/2020,0,0,0
4,Washington,1/6/2020,0,0,0
5,Washington,1/7/2020,0,0,0
6,Washington,1/8/2020,0,0,0
7,Washington,1/9/2020,0,0,0
8,Washington,1/10/2020,0,0,0
9,Washington,1/11/2020,0,0,0
10,Washington,1/12/2020,0,0,0
11,Washington,1/13/2020,0,0,0
12,Washington,1/14/2020,0,0,0
13,Washington,1/15/2020,0,0,0
14,Washington,1/16/2020,0,0,0
15,Washington,1/17/2020,0,0,0
16,Washington,1/18/2020,0,0,0
17,Washington,1/19/2020,0,0,0
18,Washington,1/20/2020,0,0,0
19,Washington,1/21/2020,0,0,0
20,Washington,1/22/2020,0,0,0
21,Washington,1/23/2020,0,0,0
22,Washington,1/24/2020,0,0,0
23,Washington,1/25/2020,0,0,0
24,Washington,1/26/2020,0,0,0
25,Washington,1/27/2020,0,0,0
26,Washington,1/28/2020,0,0,0
27,Washington,1/29/2020,0,0,0
28,Washington,1/30/2020,0,0,0
29,Washington,1/31/2020,0,0,0
30,Washington,2/1/2020,0,0,0
31,Washington,2/2/2020,0,0,0
32,Washington,2/3/2020,0,0,0
33,Washington,2/4/2020,0,0,0
34,Washington,2/5/2020,0,0,0
35,Washington,2/6/2020,0,0,0
36,Washington,2/7/2020,0,0,0
37,Washington,2/8/2020,0,0,0
38,Washington,2/9/2020,0,0,0
39,Washington,2/10/2020,0,0,0
40,Washington,2/11/2020,0,0,0
41,Washington,2/12/2020,0,0,0
42,Washington,2/13/2020,0,0,0
43,Washington,2/14/2020,0,0,0
44,Washington,2/15/2020,0,0,0
45,Washington,2/16/2020,0,0,0
46,Washington,2/17/2020,0,0,0
47,Washington,2/18/2020,0,0,0
48,Washington,2/19/2020,0,0,0
49,Washington,2/20/2020,0,0,0
50,Washington,2/21/2020,0,5.30155,0
51,Washington,2/22/2020,0,4.8393,0
52,Washington,2/23/2020,0,5.3207,0
53,Washington,2/24/2020,0,2.6382,0
54,Washington,2/25/2020,0,7.9743,0
55,Washington,2/26/2020,2,8.069435673,2
56,Washington,2/27/2020,1,13.37701287,3
57,Washington,2/28/2020,2,5.29175,5
58,Washington,2/29/2020,1,13.47157515,6
59,Washington,3/1/2020,3,15.9592,9
60,Washington,3/2/2020,2,0,11
61,Washington,3/3/2020,4,23.77019269,15
62,Washington,3/4/2020,2,19.02788421,17
63,Washington,3/5/2020,4,10.85029211,21
64,Washington,3/6/2020,6,21.68329298,27
65,Washington,3/7/2020,0,16.22358567,27
66,Washington,3/8/2020,6,10.80712135,33
67,Washington,3/9/2020,4,13.43974591,37
68,Washington,3/10/2020,2,21.68562076,39
69,Washington,3/11/2020,4,50.32365965,43
70,Washington,3/12/2020,4,36.71888713,47
71,Washington,3/13/2020,2,26.71569971,49
72,Washington,3/14/2020,3,47.30563567,52
73,Washington,3/15/2020,4,64.02083567,56
74,Washington,3/16/2020,10,32.06007719,66
75,Washington,3/17/2020,8,59.81870409,74
76,Washington,3/18/2020,5,20.59422456,79
77,Washington,3/19/2020,9,59.64613392,88
78,Washington,3/20/2020,12,52.64289357,100
79,Washington,3/21/2020,6,84.0368845,106
80,Washington,3/22/2020,11,127.7924287,117
81,Washington,3/23/2020,4,84.44169737,121
82,Washington,3/24/2020,11,84.23927661,132
83,Washington,3/25/2020,10,74.5945614,142
84,Washington,3/26/2020,16,26.01401784,158
85,Washington,3/27/2020,24,115.3410942,182
86,Washington,3/28/2020,16,94.42324211,198
87,Washington,3/29/2020,16,104.5257702,214
88,Washington,3/30/2020,14,131.6918696,228
89,Washington,3/31/2020,5,113.4402199,233
90,Washington,4/1/2020,22,218.9181254,255
91,Washington,4/2/2020,18,133.0177193,273
92,Washington,4/3/2020,20,126.1301494,293
93,Washington,4/4/2020,25,135.2192506,318
94,Washington,4/5/2020,22,158.543948,340
95,Washington,4/6/2020,42,48.57157515,382
96,Washington,4/7/2020,26,53.73690263,408
97,Washington,4/8/2020,24,97.21378801,432
98,Washington,4/9/2020,26,128.2020889,458
99,Washington,4/10/2020,30,84.70773099,488
100,Washington,4/11/2020,9,47.39058216,497
101,Washington,4/12/2020,10,78.41555205,507
102,Washington,4/13/2020,19,71.32178918,526
103,Washington,4/14/2020,25,64.53441316,551
104,Washington,4/15/2020,16,57.90732135,567
105,Washington,4/16/2020,9,51.78605789,576
1,United States of America,1/3/2020,0,0,0
2,United States of America,1/4/2020,0,0,0
3,United States of America,1/5/2020,0,0,0
4,United States of America,1/6/2020,0,0,0
5,United States of America,1/7/2020,0,0,0
6,United States of America,1/8/2020,0,0,0
7,United States of America,1/9/2020,0,0,0
8,United States of America,1/10/2020,0,0,0
9,United States of America,1/11/2020,0,0,0
10,United States of America,1/12/2020,0,0,0
11,United States of America,1/13/2020,0,0,0
12,United States of America,1/14/2020,0,0,0
13,United States of America,1/15/2020,0,0,0
14,United States of America,1/16/2020,0,0,0
15,United States of America,1/17/2020,0,0,0
16,United States of America,1/18/2020,0,0,0
17,United States of America,1/19/2020,0,0,0
18,United States of America,1/20/2020,0,0,0
19,United States of America,1/21/2020,0,0,0
20,United States of America,1/22/2020,0,0,0
21,United States of America,1/23/2020,0,0,0
22,United States of America,1/24/2020,0,0,0
23,United States of America,1/25/2020,0,0,0
24,United States of America,1/26/2020,0,0,0
25,United States of America,1/27/2020,0,0,0
26,United States of America,1/28/2020,0,0,0
27,United States of America,1/29/2020,0,0,0
28,United States of America,1/30/2020,0,0,0
29,United States of America,1/31/2020,0,0,0
30,United States of America,2/1/2020,0,0,0
31,United States of America,2/2/2020,0,0,0
32,United States of America,2/3/2020,0,0,0
33,United States of America,2/4/2020,0,0,0
34,United States of America,2/5/2020,0,0,0
35,United States of America,2/6/2020,0,0,0
36,United States of America,2/7/2020,0,0,0
37,United States of America,2/8/2020,0,0,0
38,United States of America,2/9/2020,0,0,0
39,United States of America,2/10/2020,0,0,0
40,United States of America,2/11/2020,0,0,0
41,United States of America,2/12/2020,0,0,0
42,United States of America,2/13/2020,0,0,0
43,United States of America,2/14/2020,0,0,0
44,United States of America,2/15/2020,0,0,0
45,United States of America,2/16/2020,0,0,0
46,United States of America,2/17/2020,0,0,0
47,United States of America,2/18/2020,0,0,0
48,United States of America,2/19/2020,0,0,0
49,United States of America,2/20/2020,0,0,0
50,United States of America,2/21/2020,0,5.30155,0
51,United States of America,2/22/2020,0,4.8393,0
52,United States of America,2/23/2020,0,5.3207,0
53,United States of America,2/24/2020,0,2.6382,0
54,United States of America,2/25/2020,0,7.9743,0
55,United States of America,2/26/2020,2,8.069435673,2
56,United States of America,2/27/2020,1,13.37701287,3
57,United States of America,2/28/2020,2,10.65164456,5
58,United States of America,2/29/2020,1,13.47157515,6
59,United States of America,3/1/2020,3,15.9592,9
60,United States of America,3/2/2020,2,0,11
61,United States of America,3/3/2020,4,32.6067487,15
62,United States of America,3/4/2020,3,19.02788421,18
63,United States of America,3/5/2020,4,21.05952804,22
64,United States of America,3/6/2020,6,31.72913422,28
65,United States of America,3/7/2020,0,26.19435389,28
66,United States of America,3/8/2020,8,16.27308538,36
67,United States of America,3/9/2020,4,45.80473124,40
68,United States of America,3/10/2020,4,50.52465627,44
69,United States of America,3/11/2020,6,106.7662836,50
70,United States of America,3/12/2020,6,114.1460524,56
71,United States of America,3/13/2020,3,82.04907189,59
72,United States of America,3/14/2020,10,320.7723621,69
73,United States of America,3/15/2020,10,220.8854638,79
74,United States of America,3/16/2020,24,256.7338542,103
75,United States of America,3/17/2020,24,529.6336436,127
76,United States of America,3/18/2020,17,496.7591859,144
77,United States of America,3/19/2020,70,701.5204244,214
78,United States of America,3/20/2020,47,1013.417285,261
79,United States of America,3/21/2020,57,1129.134009,318
80,United States of America,3/22/2020,126,1643.007239,444
81,United States of America,3/23/2020,116,1765.87854,560
82,United States of America,3/24/2020,158,1799.525211,718
83,United States of America,3/25/2020,230,2130.181835,948
84,United States of America,3/26/2020,266,3690.934259,1214
85,United States of America,3/27/2020,386,3683.693536,1600
86,United States of America,3/28/2020,430,4796.584579,2030
87,United States of America,3/29/2020,446,4693.64092,2476
88,United States of America,3/30/2020,520,5375.186729,2996
89,United States of America,3/31/2020,878,4931.021232,3874
90,United States of America,4/1/2020,892,4815.151191,4766
91,United States of America,4/2/2020,1143,8430.323297,5909
92,United States of America,4/3/2020,1164,7979.88176,7073
93,United States of America,4/4/2020,1317,7591.180828,8390
94,United States of America,4/5/2020,1211,8630.007289,9601
95,United States of America,4/6/2020,1160,7902.740676,10761
96,United States of America,4/7/2020,2017,6339.49762,12778
97,United States of America,4/8/2020,1898,6229.486208,14676
98,United States of America,4/9/2020,1836,10273.39246,16512
99,United States of America,4/10/2020,2038,10552.22952,18550
100,United States of America,4/11/2020,1871,9396.01114,20421
101,United States of America,4/12/2020,1557,9420.211311,21978
102,United States of America,4/13/2020,1521,9374.468413,23499
103,United States of America,4/14/2020,2322,9249.322838,25821
104,United States of America,4/15/2020,2481,9047.805216,28302
105,United States of America,4/16/2020,2191.449,8761.010121,30493.449
1,Illinois,1/3/2020,0,0,0
2,Illinois,1/4/2020,0,0,0
3,Illinois,1/5/2020,0,0,0
4,Illinois,1/6/2020,0,0,0
5,Illinois,1/7/2020,0,0,0
6,Illinois,1/8/2020,0,0,0
7,Illinois,1/9/2020,0,0,0
8,Illinois,1/10/2020,0,0,0
9,Illinois,1/11/2020,0,0,0
10,Illinois,1/12/2020,0,0,0
11,Illinois,1/13/2020,0,0,0
12,Illinois,1/14/2020,0,0,0
13,Illinois,1/15/2020,0,0,0
14,Illinois,1/16/2020,0,0,0
15,Illinois,1/17/2020,0,0,0
16,Illinois,1/18/2020,0,0,0
17,Illinois,1/19/2020,0,0,0
