,job_title,company,location,salary,posted,date_extracted
0,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.677877
1,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.678875
2,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.679872
3,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.680870
4,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.680870
5,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.681867
6,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.682864
7,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.682864
8,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.683862
9,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.684858
10,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.684858
11,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.685856
12,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.685856
13,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.686853
14,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.687851
15,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.687851
16,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.688848
17,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.689845
18,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.689845
19,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.690843
20,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.691840
21,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.691840
22,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.692837
23,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.693835
24,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.693835
25,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.694832
26,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.694832
27,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.695829
28,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.696827
29,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.696827
30,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.697824
31,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.698821
32,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.698821
33,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.699818
34,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.700816
35,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.700816
36,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.701813
37,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.702811
38,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.703809
39,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.704805
40,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.705803
41,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.706800
42,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.706800
43,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.707799
44,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.708796
45,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.710790
46,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.710790
47,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.711788
48,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.712784
49,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.713783
50,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.713783
51,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.714779
52,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.714779
53,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.715776
54,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.715776
55,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.716773
56,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.716773
57,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.717771
58,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.718768
59,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.718768
60,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.719766
61,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.719766
62,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.720763
63,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.721763
64,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.721763
65,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.722757
66,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.722757
67,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.723755
68,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.724753
69,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.724753
70,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.725751
71,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.726748
72,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.727745
73,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.727745
74,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.728743
75,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.729739
76,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.730263
77,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.730736
78,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.731734
79,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.731734
80,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.732731
81,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.732731
82,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.733728
83,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.733728
84,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.735241
85,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.735241
86,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.736229
87,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.736229
88,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.737226
89,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.737226
90,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.738223
91,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.738223
92,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.739222
93,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.739222
94,Senior Data Scientist,Humana,,,30+ days ago,2020-04-19 17:33:47.740218
95,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.741216
96,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.742215
97,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.743211
98,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.744207
99,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.744207
100,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.745204
101,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.745204
102,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.746202
