,V1,location_name,date,deaths_mean,admis_mean,totdea_mean,days_ago
420,1,California,2020-01-03,0.0,0.0,0.0,-108
421,2,California,2020-01-04,0.0,0.0,0.0,-107
422,3,California,2020-01-05,0.0,0.0,0.0,-106
423,4,California,2020-01-06,0.0,0.0,0.0,-105
424,5,California,2020-01-07,0.0,0.0,0.0,-104
425,6,California,2020-01-08,0.0,0.0,0.0,-103
426,7,California,2020-01-09,0.0,0.0,0.0,-102
427,8,California,2020-01-10,0.0,0.0,0.0,-101
428,9,California,2020-01-11,0.0,0.0,0.0,-100
429,10,California,2020-01-12,0.0,0.0,0.0,-99
430,11,California,2020-01-13,0.0,0.0,0.0,-98
431,12,California,2020-01-14,0.0,0.0,0.0,-97
432,13,California,2020-01-15,0.0,0.0,0.0,-96
433,14,California,2020-01-16,0.0,0.0,0.0,-95
434,15,California,2020-01-17,0.0,0.0,0.0,-94
435,16,California,2020-01-18,0.0,0.0,0.0,-93
436,17,California,2020-01-19,0.0,0.0,0.0,-92
437,18,California,2020-01-20,0.0,0.0,0.0,-91
438,19,California,2020-01-21,0.0,0.0,0.0,-90
439,20,California,2020-01-22,0.0,0.0,0.0,-89
440,21,California,2020-01-23,0.0,0.0,0.0,-88
441,22,California,2020-01-24,0.0,0.0,0.0,-87
442,23,California,2020-01-25,0.0,0.0,0.0,-86
443,24,California,2020-01-26,0.0,0.0,0.0,-85
444,25,California,2020-01-27,0.0,0.0,0.0,-84
445,26,California,2020-01-28,0.0,0.0,0.0,-83
446,27,California,2020-01-29,0.0,0.0,0.0,-82
447,28,California,2020-01-30,0.0,0.0,0.0,-81
448,29,California,2020-01-31,0.0,0.0,0.0,-80
449,30,California,2020-02-01,0.0,0.0,0.0,-79
450,31,California,2020-02-02,0.0,0.0,0.0,-78
451,32,California,2020-02-03,0.0,0.0,0.0,-77
452,33,California,2020-02-04,0.0,0.0,0.0,-76
453,34,California,2020-02-05,0.0,0.0,0.0,-75
454,35,California,2020-02-06,0.0,0.0,0.0,-74
455,36,California,2020-02-07,0.0,0.0,0.0,-73
456,37,California,2020-02-08,0.0,0.0,0.0,-72
457,38,California,2020-02-09,0.0,0.0,0.0,-71
458,39,California,2020-02-10,0.0,0.0,0.0,-70
459,40,California,2020-02-11,0.0,0.0,0.0,-69
460,41,California,2020-02-12,0.0,0.0,0.0,-68
461,42,California,2020-02-13,0.0,0.0,0.0,-67
462,43,California,2020-02-14,0.0,0.0,0.0,-66
463,44,California,2020-02-15,0.0,0.0,0.0,-65
464,45,California,2020-02-16,0.0,0.0,0.0,-64
465,46,California,2020-02-17,0.0,0.0,0.0,-63
466,47,California,2020-02-18,0.0,0.0,0.0,-62
467,48,California,2020-02-19,0.0,0.0,0.0,-61
468,49,California,2020-02-20,0.0,0.0,0.0,-60
469,50,California,2020-02-21,0.0,0.0,0.0,-59
470,51,California,2020-02-22,0.0,0.0,0.0,-58
471,52,California,2020-02-23,0.0,0.0,0.0,-57
472,53,California,2020-02-24,0.0,0.0,0.0,-56
473,54,California,2020-02-25,0.0,0.0,0.0,-55
474,55,California,2020-02-26,0.0,0.0,0.0,-54
475,56,California,2020-02-27,0.0,0.0,0.0,-53
476,57,California,2020-02-28,0.0,5.35989456,0.0,-52
477,58,California,2020-02-29,0.0,0.0,0.0,-51
478,59,California,2020-03-01,0.0,0.0,0.0,-50
479,60,California,2020-03-02,0.0,0.0,0.0,-49
480,61,California,2020-03-03,0.0,0.0,0.0,-48
481,62,California,2020-03-04,1.0,0.0,1.0,-47
482,63,California,2020-03-05,0.0,5.403735936,1.0,-46
483,64,California,2020-03-06,0.0,5.3052496410000005,1.0,-45
484,65,California,2020-03-07,0.0,5.339552771,1.0,-44
485,66,California,2020-03-08,0.0,0.0,1.0,-43
486,67,California,2020-03-09,0.0,5.431652346,1.0,-42
487,68,California,2020-03-10,1.0,5.395228055,2.0,-41
488,69,California,2020-03-11,1.0,5.306343723,3.0,-40
489,70,California,2020-03-12,1.0,27.05791743,4.0,-39
490,71,California,2020-03-13,0.0,5.388259775,4.0,-38
491,72,California,2020-03-14,1.0,27.03445395,5.0,-37
492,73,California,2020-03-15,1.0,26.98626519,6.0,-36
493,74,California,2020-03-16,1.0,5.463950672999999,7.0,-35
494,75,California,2020-03-17,5.0,32.25862314,12.0,-34
495,76,California,2020-03-18,1.0,48.03504403,13.0,-33
496,77,California,2020-03-19,5.0,59.11077099,18.0,-32
497,78,California,2020-03-20,5.0,81.22965505,23.0,-31
498,79,California,2020-03-21,1.0,86.15598646,24.0,-30
499,80,California,2020-03-22,6.0,69.81267985,30.0,-29
500,81,California,2020-03-23,9.0,86.43290311,39.0,-28
501,82,California,2020-03-24,11.0,75.32764078,50.0,-27
502,83,California,2020-03-25,15.0,118.1212811,65.0,-26
503,84,California,2020-03-26,16.0,145.4528918,81.0,-25
504,85,California,2020-03-27,13.0,140.4150561,94.0,-24
505,86,California,2020-03-28,16.0,210.42467819999996,110.0,-23
506,87,California,2020-03-29,14.0,145.79949630000002,124.0,-22
507,88,California,2020-03-30,22.0,128.9623219,146.0,-21
508,89,California,2020-03-31,27.0,317.8627423,173.0,-20
509,90,California,2020-04-01,26.0,172.5815567,199.0,-19
510,91,California,2020-04-02,39.0,281.3719628,238.0,-18
511,92,California,2020-04-03,27.0,338.92963210000005,265.0,-17
512,93,California,2020-04-04,24.0,263.7843249,289.0,-16
513,94,California,2020-04-05,59.0,210.390714,348.0,-15
514,95,California,2020-04-06,32.0,118.4785858,380.0,-14
515,96,California,2020-04-07,52.0,194.5222601,432.0,-13
516,97,California,2020-04-08,63.0,398.58155,495.0,-12
517,98,California,2020-04-09,49.0,285.6044437,544.0,-11
518,99,California,2020-04-10,39.0,501.29044369999997,583.0,-10
519,100,California,2020-04-11,22.0,517.4471825,605.0,-9
520,101,California,2020-04-12,36.0,331.13640089999996,641.0,-8
521,102,California,2020-04-13,74.0,330.33473219999996,715.0,-7
522,103,California,2020-04-14,53.0,325.67475360000003,768.0,-6
523,104,California,2020-04-15,93.0,318.5855998,861.0,-5
524,105,California,2020-04-16,96.0,305.9870395,957.0,-4
