,job_title,company,location,salary,posted,date
1,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
2,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
3,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
4,Data Scientist,Seen by Indeed,,,24,2020-04-20
5,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
6,Data Scientist,Northrop Grumman,,,30,2020-04-20
7,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
8,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
9,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
10,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,3,2020-04-20
11,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
12,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
13,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
14,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
15,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
16,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
17,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
18,Data Scientist,"Metron, Inc.",,,30,2020-04-20
19,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
21,Data Scientist,Northrop Grumman,,,30,2020-04-20
22,Machine Learning On-call Intern,Perspecta Labs,,,30,2020-04-20
23,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
24,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
25,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
26,Data Scientist - 64922BR,AETNA,"San Francisco, CA",,13,2020-04-20
27,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
28,Data Scientist,Primesys Technologies,"Plainfield, NJ",,30,2020-04-20
29,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,,17,2020-04-20
30,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30,2020-04-20
31,Data Scientist,Auth0,Remote,,3,2020-04-20
32,Internship Opportunities for Students: Data & Applied Scienc...,Microsoft,"Redmond, WA",,30,2020-04-20
33,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
34,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30,2020-04-20
35,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
36,Data Scientist,Seen by Indeed,,,24,2020-04-20
37,Data Scientist,Triplebyte,,"$150,000 - $225,000 a year",17,2020-04-20
38,Data Scientist,"Metron, Inc.",,,30,2020-04-20
40,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
41,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
42,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
43,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
44,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
45,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,3,2020-04-20
46,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
47,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
48,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
49,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
50,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
51,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
52,Data Scientist,Seen by Indeed,,,24,2020-04-20
53,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
54,Data Scientist,Northrop Grumman,,,30,2020-04-20
55,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
56,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
57,Data Scientist,"Metron, Inc.",,,30,2020-04-20
59,Data Scientist,Seen by Indeed,,,24,2020-04-20
60,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
61,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
62,Data Scientist,Northrop Grumman,,,30,2020-04-20
63,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
64,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
65,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
66,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
67,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,3,2020-04-20
68,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
69,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
70,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
71,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
72,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
73,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
74,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
75,Data Scientist,Plug Power Inc,,,30,2020-04-20
76,Data Scientist,"Metron, Inc.",,,30,2020-04-20
78,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
79,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
80,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
81,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
82,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
83,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,3,2020-04-20
84,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
85,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
86,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
87,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
88,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
89,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
90,Data Scientist,Seen by Indeed,,,24,2020-04-20
91,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
92,Data Scientist,Northrop Grumman,,,30,2020-04-20
93,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
94,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
95,Data Scientist,"Metron, Inc.",,,30,2020-04-20
97,Data Scientist,Seen by Indeed,,,24,2020-04-20
98,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
99,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
100,Data Scientist,Northrop Grumman,,,30,2020-04-20
101,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
102,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
103,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
104,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
105,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,3,2020-04-20
106,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
107,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
108,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
109,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
110,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
111,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
112,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
113,Data Scientist,Plug Power Inc,,,30,2020-04-20
114,Data Scientist,"Metron, Inc.",,,30,2020-04-20
116,Data Scientist,Seen by Indeed,,,24,2020-04-20
117,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
118,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
119,Data Scientist,Northrop Grumman,,,30,2020-04-20
120,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
121,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
122,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
123,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
124,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,3,2020-04-20
125,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
126,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
127,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
128,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
129,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
130,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
131,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
132,Data Scientist,Plug Power Inc,,,30,2020-04-20
133,Data Scientist,"Metron, Inc.",,,30,2020-04-20
135,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
136,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
137,Data Scientist - 64922BR,AETNA,"San Francisco, CA",,13,2020-04-20
138,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
139,Data Scientist,Primesys Technologies,"Plainfield, NJ",,30,2020-04-20
140,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,,17,2020-04-20
141,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30,2020-04-20
142,Data Scientist,Auth0,Remote,,3,2020-04-20
143,Internship Opportunities for Students: Data & Applied Scienc...,Microsoft,"Redmond, WA",,30,2020-04-20
144,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
145,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30,2020-04-20
146,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
147,Data Scientist,Seen by Indeed,,,24,2020-04-20
148,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
149,Data Scientist,Northrop Grumman,,,30,2020-04-20
150,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
151,Machine Learning On-call Intern,Perspecta Labs,,,30,2020-04-20
152,Data Scientist,"Metron, Inc.",,,30,2020-04-20
154,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
155,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
156,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
157,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
158,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
