,V1,location_name,date,deaths_mean,admis_mean,totdea_mean,days_ago
525,1,Massachusetts,2020-01-03,0.0,0.0,0.0,-108
526,2,Massachusetts,2020-01-04,0.0,0.0,0.0,-107
527,3,Massachusetts,2020-01-05,0.0,0.0,0.0,-106
528,4,Massachusetts,2020-01-06,0.0,0.0,0.0,-105
529,5,Massachusetts,2020-01-07,0.0,0.0,0.0,-104
530,6,Massachusetts,2020-01-08,0.0,0.0,0.0,-103
531,7,Massachusetts,2020-01-09,0.0,0.0,0.0,-102
532,8,Massachusetts,2020-01-10,0.0,0.0,0.0,-101
533,9,Massachusetts,2020-01-11,0.0,0.0,0.0,-100
534,10,Massachusetts,2020-01-12,0.0,0.0,0.0,-99
535,11,Massachusetts,2020-01-13,0.0,0.0,0.0,-98
536,12,Massachusetts,2020-01-14,0.0,0.0,0.0,-97
537,13,Massachusetts,2020-01-15,0.0,0.0,0.0,-96
538,14,Massachusetts,2020-01-16,0.0,0.0,0.0,-95
539,15,Massachusetts,2020-01-17,0.0,0.0,0.0,-94
540,16,Massachusetts,2020-01-18,0.0,0.0,0.0,-93
541,17,Massachusetts,2020-01-19,0.0,0.0,0.0,-92
542,18,Massachusetts,2020-01-20,0.0,0.0,0.0,-91
543,19,Massachusetts,2020-01-21,0.0,0.0,0.0,-90
544,20,Massachusetts,2020-01-22,0.0,0.0,0.0,-89
545,21,Massachusetts,2020-01-23,0.0,0.0,0.0,-88
546,22,Massachusetts,2020-01-24,0.0,0.0,0.0,-87
547,23,Massachusetts,2020-01-25,0.0,0.0,0.0,-86
548,24,Massachusetts,2020-01-26,0.0,0.0,0.0,-85
549,25,Massachusetts,2020-01-27,0.0,0.0,0.0,-84
550,26,Massachusetts,2020-01-28,0.0,0.0,0.0,-83
551,27,Massachusetts,2020-01-29,0.0,0.0,0.0,-82
552,28,Massachusetts,2020-01-30,0.0,0.0,0.0,-81
553,29,Massachusetts,2020-01-31,0.0,0.0,0.0,-80
554,30,Massachusetts,2020-02-01,0.0,0.0,0.0,-79
555,31,Massachusetts,2020-02-02,0.0,0.0,0.0,-78
556,32,Massachusetts,2020-02-03,0.0,0.0,0.0,-77
557,33,Massachusetts,2020-02-04,0.0,0.0,0.0,-76
558,34,Massachusetts,2020-02-05,0.0,0.0,0.0,-75
559,35,Massachusetts,2020-02-06,0.0,0.0,0.0,-74
560,36,Massachusetts,2020-02-07,0.0,0.0,0.0,-73
561,37,Massachusetts,2020-02-08,0.0,0.0,0.0,-72
562,38,Massachusetts,2020-02-09,0.0,0.0,0.0,-71
563,39,Massachusetts,2020-02-10,0.0,0.0,0.0,-70
564,40,Massachusetts,2020-02-11,0.0,0.0,0.0,-69
565,41,Massachusetts,2020-02-12,0.0,0.0,0.0,-68
566,42,Massachusetts,2020-02-13,0.0,0.0,0.0,-67
567,43,Massachusetts,2020-02-14,0.0,0.0,0.0,-66
568,44,Massachusetts,2020-02-15,0.0,0.0,0.0,-65
569,45,Massachusetts,2020-02-16,0.0,0.0,0.0,-64
570,46,Massachusetts,2020-02-17,0.0,0.0,0.0,-63
571,47,Massachusetts,2020-02-18,0.0,0.0,0.0,-62
572,48,Massachusetts,2020-02-19,0.0,0.0,0.0,-61
573,49,Massachusetts,2020-02-20,0.0,0.0,0.0,-60
574,50,Massachusetts,2020-02-21,0.0,0.0,0.0,-59
575,51,Massachusetts,2020-02-22,0.0,0.0,0.0,-58
576,52,Massachusetts,2020-02-23,0.0,0.0,0.0,-57
577,53,Massachusetts,2020-02-24,0.0,0.0,0.0,-56
578,54,Massachusetts,2020-02-25,0.0,0.0,0.0,-55
579,55,Massachusetts,2020-02-26,0.0,0.0,0.0,-54
580,56,Massachusetts,2020-02-27,0.0,0.0,0.0,-53
581,57,Massachusetts,2020-02-28,0.0,0.0,0.0,-52
582,58,Massachusetts,2020-02-29,0.0,0.0,0.0,-51
583,59,Massachusetts,2020-03-01,0.0,0.0,0.0,-50
584,60,Massachusetts,2020-03-02,0.0,0.0,0.0,-49
585,61,Massachusetts,2020-03-03,0.0,0.0,0.0,-48
586,62,Massachusetts,2020-03-04,0.0,0.0,0.0,-47
587,63,Massachusetts,2020-03-05,0.0,0.0,0.0,-46
588,64,Massachusetts,2020-03-06,0.0,0.0,0.0,-45
589,65,Massachusetts,2020-03-07,0.0,0.0,0.0,-44
590,66,Massachusetts,2020-03-08,0.0,0.0,0.0,-43
591,67,Massachusetts,2020-03-09,0.0,0.0,0.0,-42
592,68,Massachusetts,2020-03-10,0.0,0.0,0.0,-41
593,69,Massachusetts,2020-03-11,0.0,0.0,0.0,-40
594,70,Massachusetts,2020-03-12,0.0,0.0,0.0,-39
595,71,Massachusetts,2020-03-13,0.0,0.0,0.0,-38
596,72,Massachusetts,2020-03-14,0.0,0.0,0.0,-37
597,73,Massachusetts,2020-03-15,0.0,3.0706884710000004,0.0,-36
598,74,Massachusetts,2020-03-16,0.0,0.0,0.0,-35
599,75,Massachusetts,2020-03-17,0.0,12.31206711,0.0,-34
600,76,Massachusetts,2020-03-18,0.0,12.32458342,0.0,-33
601,77,Massachusetts,2020-03-19,0.0,6.067470434,0.0,-32
602,78,Massachusetts,2020-03-20,1.0,12.17471705,1.0,-31
603,79,Massachusetts,2020-03-21,0.0,30.52989987,1.0,-30
604,80,Massachusetts,2020-03-22,4.0,30.43852225,5.0,-29
605,81,Massachusetts,2020-03-23,4.0,27.46081864,9.0,-28
606,82,Massachusetts,2020-03-24,2.0,12.24833749,11.0,-27
607,83,Massachusetts,2020-03-25,4.0,24.53702473,15.0,-26
608,84,Massachusetts,2020-03-26,10.0,100.61344659999999,25.0,-25
609,85,Massachusetts,2020-03-27,10.0,100.12046540000001,35.0,-24
610,86,Massachusetts,2020-03-28,9.0,97.77730048,44.0,-23
611,87,Massachusetts,2020-03-29,4.0,116.3601587,48.0,-22
612,88,Massachusetts,2020-03-30,8.0,73.61194884,56.0,-21
613,89,Massachusetts,2020-03-31,33.0,45.75796401,89.0,-20
614,90,Massachusetts,2020-04-01,33.0,88.69079205,122.0,-19
615,91,Massachusetts,2020-04-02,32.0,293.5675375,154.0,-18
616,92,Massachusetts,2020-04-03,38.0,236.0191352,192.0,-17
617,93,Massachusetts,2020-04-04,24.0,214.406508,216.0,-16
618,94,Massachusetts,2020-04-05,15.0,293.8997289,231.0,-15
619,95,Massachusetts,2020-04-06,29.0,265.5502861,260.0,-14
620,96,Massachusetts,2020-04-07,96.0,213.2451371,356.0,-13
621,97,Massachusetts,2020-04-08,77.0,269.7588189,433.0,-12
622,98,Massachusetts,2020-04-09,70.0,0.0,503.0,-11
623,99,Massachusetts,2020-04-10,96.0,807.5800289,599.0,-10
624,100,Massachusetts,2020-04-11,87.0,0.0,686.0,-9
625,101,Massachusetts,2020-04-12,70.0,397.733976,756.0,-8
626,102,Massachusetts,2020-04-13,88.0,408.6980997,844.0,-7
627,103,Massachusetts,2020-04-14,0.0,414.2610541,844.0,-6
628,104,Massachusetts,2020-04-15,264.0,415.8436244,1108.0,-5
629,105,Massachusetts,2020-04-16,0.0,410.9821586,1108.0,-4
