,V1,location_name,date,deaths_mean,admis_mean,totdea_mean,days_ago
315,1,New York,2020-01-03,0.0,0.0,0.0,-108
316,2,New York,2020-01-04,0.0,0.0,0.0,-107
317,3,New York,2020-01-05,0.0,0.0,0.0,-106
318,4,New York,2020-01-06,0.0,0.0,0.0,-105
319,5,New York,2020-01-07,0.0,0.0,0.0,-104
320,6,New York,2020-01-08,0.0,0.0,0.0,-103
321,7,New York,2020-01-09,0.0,0.0,0.0,-102
322,8,New York,2020-01-10,0.0,0.0,0.0,-101
323,9,New York,2020-01-11,0.0,0.0,0.0,-100
324,10,New York,2020-01-12,0.0,0.0,0.0,-99
325,11,New York,2020-01-13,0.0,0.0,0.0,-98
326,12,New York,2020-01-14,0.0,0.0,0.0,-97
327,13,New York,2020-01-15,0.0,0.0,0.0,-96
328,14,New York,2020-01-16,0.0,0.0,0.0,-95
329,15,New York,2020-01-17,0.0,0.0,0.0,-94
330,16,New York,2020-01-18,0.0,0.0,0.0,-93
331,17,New York,2020-01-19,0.0,0.0,0.0,-92
332,18,New York,2020-01-20,0.0,0.0,0.0,-91
333,19,New York,2020-01-21,0.0,0.0,0.0,-90
334,20,New York,2020-01-22,0.0,0.0,0.0,-89
335,21,New York,2020-01-23,0.0,0.0,0.0,-88
336,22,New York,2020-01-24,0.0,0.0,0.0,-87
337,23,New York,2020-01-25,0.0,0.0,0.0,-86
338,24,New York,2020-01-26,0.0,0.0,0.0,-85
339,25,New York,2020-01-27,0.0,0.0,0.0,-84
340,26,New York,2020-01-28,0.0,0.0,0.0,-83
341,27,New York,2020-01-29,0.0,0.0,0.0,-82
342,28,New York,2020-01-30,0.0,0.0,0.0,-81
343,29,New York,2020-01-31,0.0,0.0,0.0,-80
344,30,New York,2020-02-01,0.0,0.0,0.0,-79
345,31,New York,2020-02-02,0.0,0.0,0.0,-78
346,32,New York,2020-02-03,0.0,0.0,0.0,-77
347,33,New York,2020-02-04,0.0,0.0,0.0,-76
348,34,New York,2020-02-05,0.0,0.0,0.0,-75
349,35,New York,2020-02-06,0.0,0.0,0.0,-74
350,36,New York,2020-02-07,0.0,0.0,0.0,-73
351,37,New York,2020-02-08,0.0,0.0,0.0,-72
352,38,New York,2020-02-09,0.0,0.0,0.0,-71
353,39,New York,2020-02-10,0.0,0.0,0.0,-70
354,40,New York,2020-02-11,0.0,0.0,0.0,-69
355,41,New York,2020-02-12,0.0,0.0,0.0,-68
356,42,New York,2020-02-13,0.0,0.0,0.0,-67
357,43,New York,2020-02-14,0.0,0.0,0.0,-66
358,44,New York,2020-02-15,0.0,0.0,0.0,-65
359,45,New York,2020-02-16,0.0,0.0,0.0,-64
360,46,New York,2020-02-17,0.0,0.0,0.0,-63
361,47,New York,2020-02-18,0.0,0.0,0.0,-62
362,48,New York,2020-02-19,0.0,0.0,0.0,-61
363,49,New York,2020-02-20,0.0,0.0,0.0,-60
364,50,New York,2020-02-21,0.0,0.0,0.0,-59
365,51,New York,2020-02-22,0.0,0.0,0.0,-58
366,52,New York,2020-02-23,0.0,0.0,0.0,-57
367,53,New York,2020-02-24,0.0,0.0,0.0,-56
368,54,New York,2020-02-25,0.0,0.0,0.0,-55
369,55,New York,2020-02-26,0.0,0.0,0.0,-54
370,56,New York,2020-02-27,0.0,0.0,0.0,-53
371,57,New York,2020-02-28,0.0,0.0,0.0,-52
372,58,New York,2020-02-29,0.0,0.0,0.0,-51
373,59,New York,2020-03-01,0.0,0.0,0.0,-50
374,60,New York,2020-03-02,0.0,0.0,0.0,-49
375,61,New York,2020-03-03,0.0,0.0,0.0,-48
376,62,New York,2020-03-04,0.0,0.0,0.0,-47
377,63,New York,2020-03-05,0.0,0.0,0.0,-46
378,64,New York,2020-03-06,0.0,0.0,0.0,-45
379,65,New York,2020-03-07,0.0,0.0,0.0,-44
380,66,New York,2020-03-08,0.0,0.0,0.0,-43
381,67,New York,2020-03-09,0.0,6.1735,0.0,-42
382,68,New York,2020-03-10,0.0,3.005,0.0,-41
383,69,New York,2020-03-11,0.0,21.1645,0.0,-40
384,70,New York,2020-03-12,0.0,9.2165,0.0,-39
385,71,New York,2020-03-13,0.0,9.1845,0.0,-38
386,72,New York,2020-03-14,2.0,54.7745,2.0,-37
387,73,New York,2020-03-15,1.0,24.2165,3.0,-36
388,74,New York,2020-03-16,7.0,55.18,10.0,-35
389,75,New York,2020-03-17,3.0,175.892,13.0,-34
390,76,New York,2020-03-18,3.0,125.98100000000001,16.0,-33
391,77,New York,2020-03-19,18.0,159.0975,34.0,-32
392,78,New York,2020-03-20,8.0,231.9045,42.0,-31
393,79,New York,2020-03-21,18.0,308.236,60.0,-30
394,80,New York,2020-03-22,57.0,435.80199999999996,117.0,-29
395,81,New York,2020-03-23,41.0,618.8725,158.0,-28
396,82,New York,2020-03-24,52.0,728.0575,210.0,-27
397,83,New York,2020-03-25,75.0,776.9375,285.0,-26
398,84,New York,2020-03-26,100.0,1018.4735,385.0,-25
399,85,New York,2020-03-27,142.0,1202.2085,527.0,-24
400,86,New York,2020-03-28,201.0,1324.866,728.0,-23
401,87,New York,2020-03-29,237.0,1724.9805,965.0,-22
402,88,New York,2020-03-30,253.0,1939.1635,1218.0,-21
403,89,New York,2020-03-31,332.0,1824.77,1550.0,-20
404,90,New York,2020-04-01,391.0,1654.253,1941.0,-19
405,91,New York,2020-04-02,432.0,2436.505,2373.0,-18
406,92,New York,2020-04-03,562.0,2396.803,2935.0,-17
407,93,New York,2020-04-04,630.0,2456.7835,3565.0,-16
408,94,New York,2020-04-05,594.0,2459.728,4159.0,-15
409,95,New York,2020-04-06,539.0,2336.2635,4698.0,-14
410,96,New York,2020-04-07,791.0,2330.967,5489.0,-13
411,97,New York,2020-04-08,779.0,2066.2675,6268.0,-12
412,98,New York,2020-04-09,799.0,2406.8395,7067.0,-11
413,99,New York,2020-04-10,800.0,2382.0085,7867.0,-10
414,100,New York,2020-04-11,760.0,2574.3205,8627.0,-9
415,101,New York,2020-04-12,758.0,2529.3105,9385.0,-8
416,102,New York,2020-04-13,673.0,2463.842,10058.0,-7
417,103,New York,2020-04-14,784.0,2377.388,10842.0,-6
418,104,New York,2020-04-15,775.0,2285.1295,11617.0,-5
419,105,New York,2020-04-16,837.449,2168.834,12454.448999999999,-4
