,V1,location_name,date,deaths_mean,admis_mean,totdea_mean,days_ago
0,1,Washington,2020-01-03,0.0,0.0,0.0,-108
1,2,Washington,2020-01-04,0.0,0.0,0.0,-107
2,3,Washington,2020-01-05,0.0,0.0,0.0,-106
3,4,Washington,2020-01-06,0.0,0.0,0.0,-105
4,5,Washington,2020-01-07,0.0,0.0,0.0,-104
5,6,Washington,2020-01-08,0.0,0.0,0.0,-103
6,7,Washington,2020-01-09,0.0,0.0,0.0,-102
7,8,Washington,2020-01-10,0.0,0.0,0.0,-101
8,9,Washington,2020-01-11,0.0,0.0,0.0,-100
9,10,Washington,2020-01-12,0.0,0.0,0.0,-99
10,11,Washington,2020-01-13,0.0,0.0,0.0,-98
11,12,Washington,2020-01-14,0.0,0.0,0.0,-97
12,13,Washington,2020-01-15,0.0,0.0,0.0,-96
13,14,Washington,2020-01-16,0.0,0.0,0.0,-95
14,15,Washington,2020-01-17,0.0,0.0,0.0,-94
15,16,Washington,2020-01-18,0.0,0.0,0.0,-93
16,17,Washington,2020-01-19,0.0,0.0,0.0,-92
17,18,Washington,2020-01-20,0.0,0.0,0.0,-91
18,19,Washington,2020-01-21,0.0,0.0,0.0,-90
19,20,Washington,2020-01-22,0.0,0.0,0.0,-89
20,21,Washington,2020-01-23,0.0,0.0,0.0,-88
21,22,Washington,2020-01-24,0.0,0.0,0.0,-87
22,23,Washington,2020-01-25,0.0,0.0,0.0,-86
23,24,Washington,2020-01-26,0.0,0.0,0.0,-85
24,25,Washington,2020-01-27,0.0,0.0,0.0,-84
25,26,Washington,2020-01-28,0.0,0.0,0.0,-83
26,27,Washington,2020-01-29,0.0,0.0,0.0,-82
27,28,Washington,2020-01-30,0.0,0.0,0.0,-81
28,29,Washington,2020-01-31,0.0,0.0,0.0,-80
29,30,Washington,2020-02-01,0.0,0.0,0.0,-79
30,31,Washington,2020-02-02,0.0,0.0,0.0,-78
31,32,Washington,2020-02-03,0.0,0.0,0.0,-77
32,33,Washington,2020-02-04,0.0,0.0,0.0,-76
33,34,Washington,2020-02-05,0.0,0.0,0.0,-75
34,35,Washington,2020-02-06,0.0,0.0,0.0,-74
35,36,Washington,2020-02-07,0.0,0.0,0.0,-73
36,37,Washington,2020-02-08,0.0,0.0,0.0,-72
37,38,Washington,2020-02-09,0.0,0.0,0.0,-71
38,39,Washington,2020-02-10,0.0,0.0,0.0,-70
39,40,Washington,2020-02-11,0.0,0.0,0.0,-69
40,41,Washington,2020-02-12,0.0,0.0,0.0,-68
41,42,Washington,2020-02-13,0.0,0.0,0.0,-67
42,43,Washington,2020-02-14,0.0,0.0,0.0,-66
43,44,Washington,2020-02-15,0.0,0.0,0.0,-65
44,45,Washington,2020-02-16,0.0,0.0,0.0,-64
45,46,Washington,2020-02-17,0.0,0.0,0.0,-63
46,47,Washington,2020-02-18,0.0,0.0,0.0,-62
47,48,Washington,2020-02-19,0.0,0.0,0.0,-61
48,49,Washington,2020-02-20,0.0,0.0,0.0,-60
49,50,Washington,2020-02-21,0.0,5.30155,0.0,-59
50,51,Washington,2020-02-22,0.0,4.8393,0.0,-58
